block_num,object
1,tiger13
1,face6
1,panda2
1,face4
1,banana1
1,tiger3
1,panda9
1,banana6
1,basketball4
1,strawberry11
1,tiger5
1,strawberry2
1,face8
1,strawberry1
1,face2
1,panda6
1,panda5
1,strawberry10
1,panda11
1,basketball6
1,banana8
1,face12
1,strawberry9
1,tiger4
1,banana13
1,tiger11
1,strawberry12
1,panda7
1,tiger2
1,basketball12
1,tiger1
1,basketball8
1,strawberry4
1,face7
1,basketball5
1,face10
1,tiger7
1,strawberry13
1,panda1
1,panda12
1,banana11
1,strawberry7
1,face11
1,face3
1,banana7
1,panda4
1,panda13
1,tiger6
1,basketball11
1,panda8
1,basketball7
1,tiger8
1,basketball3
1,banana4
1,banana2
1,banana3
1,banana9
1,panda10
1,strawberry8
1,tiger12
1,basketball2
1,panda3
1,tiger9
1,basketball9
1,basketball13
1,basketball1
1,strawberry5
1,face13
1,banana10
1,strawberry6
1,banana5
1,face1
1,strawberry3
1,banana12
1,face5
1,tiger10
1,face9
1,basketball10
2,basketballText
2,strawberryText
2,basketballText
2,faceText
2,pandaText
2,strawberryText
2,tigerText
2,pandaText
2,tigerText
2,bananaText
2,strawberryText
2,faceText
2,basketballText
2,pandaText
2,faceText
2,basketballText
2,faceText
2,strawberryText
2,tigerText
2,faceText
2,strawberryText
2,faceText
2,pandaText
2,faceText
2,strawberryText
2,faceText
2,pandaText
2,bananaText
2,pandaText
2,basketballText
2,pandaText
2,basketballText
2,bananaText
2,faceText
2,basketballText
2,bananaText
2,faceText
2,bananaText
2,pandaText
2,strawberryText
2,basketballText
2,tigerText
2,faceText
2,bananaText
2,tigerText
2,tigerText
2,strawberryText
2,strawberryText
2,pandaText
2,tigerText
2,basketballText
2,pandaText
2,pandaText
2,basketballText
2,bananaText
2,strawberryText
2,tigerText
2,bananaText
2,strawberryText
2,tigerText
2,basketballText
2,bananaText
2,basketballText
2,tigerText
2,bananaText
2,strawberryText
2,pandaText
2,bananaText
2,bananaText
2,faceText
2,tigerText
2,tigerText
3,face3
3,faceText
3,strawberry12
3,strawberryText
3,strawberry13
3,strawberryText
3,tiger6
3,tigerText
3,basketball8
3,basketballText
3,tiger4
3,tigerText
3,banana13
3,bananaText
3,basketball10
3,basketballText
3,face4
3,faceText
3,banana1
3,bananaText
3,basketball9
3,basketballText
3,banana4
3,bananaText
3,panda11
3,pandaText
3,tiger12
3,tigerText
3,panda9
3,pandaText
3,face11
3,faceText
3,tiger1
3,tigerText
3,face9
3,faceText
3,panda12
3,pandaText
3,strawberry5
3,strawberryText
3,panda5
3,pandaText
3,strawberry2
3,strawberryText
3,panda1
3,pandaText
3,banana11
3,bananaText
3,face8
3,faceText
3,banana3
3,bananaText
3,panda8
3,pandaText
3,basketball6
3,basketballText
3,banana8
3,bananaText
3,panda2
3,pandaText
3,tiger2
3,tigerText
3,tiger8
3,tigerText
3,strawberry6
3,strawberryText
3,banana10
3,bananaText
3,basketball11
3,basketballText
3,tiger13
3,tigerText
3,basketball2
3,basketballText
3,basketball1
3,basketballText
3,panda10
3,pandaText
4,face10
4,faceText
4,basketball5
4,basketballText
4,basketball7
4,basketballText
4,strawberry4
4,strawberryText
4,tiger10
4,tigerText
4,face1
4,faceText
4,banana6
4,bananaText
4,strawberry9
4,strawberryText
4,tiger3
4,tigerText
4,banana12
4,bananaText
4,basketball12
4,basketballText
4,panda3
4,pandaText
4,panda7
4,pandaText
4,strawberry7
4,strawberryText
4,basketball13
4,basketballText
4,banana2
4,bananaText
4,face12
4,faceText
4,basketball4
4,basketballText
4,basketball3
4,basketballText
4,tiger11
4,tigerText
4,face7
4,faceText
4,strawberry1
4,strawberryText
4,tiger9
4,tigerText
4,face2
4,faceText
4,strawberry8
4,strawberryText
4,panda4
4,pandaText
4,strawberry10
4,strawberryText
4,banana5
4,bananaText
4,face6
4,faceText
4,panda6
4,pandaText
4,strawberry3
4,strawberryText
4,banana9
4,bananaText
4,face13
4,faceText
4,strawberry11
4,strawberryText
4,banana7
4,bananaText
4,tiger5
4,tigerText
4,face5
4,faceText
4,tiger7
4,tigerText
4,panda13
4,pandaText
